"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"20 Microns Ltd.","44.15","29/05/2019","30.70","23/08/2019"
"3i Infotech","4.55","22/04/2019","1.55","23/08/2019"
"3M India Ltd.","25,439.95","16/04/2019","16,749.95","16/09/2019"
"3P Land Holdings","13.70","04/02/2019","5.25","22/08/2019"
"3rd Rock Multimedia","104.20","19/01/2018","62.50","10/10/2018"
"5Paisa Capital","270.00","29/05/2019","120.80","23/08/2019"
"63 Moons Technologie","184.75","10/05/2019","70.85","18/02/2019"
"8K Miles Software","142.30","18/04/2019","27.95","27/01/2020"
"A and M Jumbo Bags L","17.86","01/02/2019","7.80","16/09/2019"
"A2Z Infra Engineer","19.70","19/03/2019","7.00","28/01/2020"
"Aakash Exploration","87.80","24/12/2019","14.10","22/10/2019"
"Aaron Industries","51.85","10/01/2020","35.45","22/05/2019"
